call,slice_b,n_valid,top2_frac
599,0,4081,0.991737
600,0,4081,0.991741
601,0,4052,0.992501
602,0,4052,0.992501
603,0,4052,0.992500
604,0,4052,0.992499
605,0,4052,0.992498
606,0,4052,0.992498
607,0,4052,0.992498
608,0,4052,0.992497
609,0,4052,0.992497
610,0,4052,0.992496
611,0,4052,0.992495
612,0,4052,0.992495
613,0,4052,0.992495
614,0,4052,0.992494
615,0,4052,0.992494
616,0,4052,0.992492
617,0,4052,0.992491
618,0,4052,0.992489
619,0,4052,0.992488
620,0,4052,0.992487
621,0,4052,0.992486
622,0,4052,0.992484
623,0,4052,0.992485
624,0,4052,0.992489
625,0,4052,0.992492
626,0,4052,0.992493
627,0,4052,0.992492
628,0,4052,0.992489
629,0,4052,0.992490
630,0,4052,0.992493
631,0,4052,0.992495
632,0,4052,0.992500
633,0,4052,0.992504
634,0,4052,0.992508
635,0,4052,0.992516
636,0,4052,0.992519
637,0,4052,0.992519
638,0,4052,0.992521
639,0,4052,0.992524
640,0,4052,0.992531
641,0,4052,0.992535
642,0,4052,0.992539
643,0,4052,0.992541
644,0,4052,0.992554
645,0,4052,0.992561
646,0,4052,0.992569
647,0,4052,0.992577
648,0,4052,0.992588
649,0,4052,0.992593
650,0,4052,0.992592
651,0,3564,0.991683
652,0,3564,0.991683
653,0,3564,0.991679
654,0,3564,0.991677
655,0,3564,0.991679
656,0,3564,0.991680
657,0,3564,0.991681
658,0,3564,0.991680
659,0,3564,0.991682
660,0,3564,0.991682
661,0,3564,0.991682
662,0,3564,0.991681
663,0,3564,0.991681
664,0,3564,0.991681
665,0,3564,0.991681
666,0,3564,0.991681
667,0,3564,0.991681
668,0,3564,0.991682
669,0,3564,0.991682
670,0,3564,0.991682
671,0,3564,0.991682
672,0,3564,0.991684
673,0,3564,0.991686
674,0,3564,0.991687
