call,slice_b,n_valid,top2_frac
811,0,4529,0.991813
812,0,4529,0.991812
813,0,4529,0.991811
814,0,4529,0.991810
815,0,4529,0.991810
816,0,4529,0.991808
817,0,4529,0.991808
818,0,4529,0.991807
819,0,4529,0.991807
820,0,4529,0.991806
821,0,4529,0.991806
822,0,4529,0.991806
823,0,4529,0.991805
824,0,4529,0.991806
825,0,4529,0.991804
826,0,4529,0.991804
827,0,4529,0.991805
828,0,4529,0.991801
829,0,4529,0.991800
830,0,4529,0.991796
831,0,4529,0.991802
832,0,4529,0.991803
833,0,4529,0.991801
834,0,4529,0.991792
835,0,4529,0.991796
836,0,4529,0.991797
837,0,4529,0.991799
838,0,4529,0.991816
839,0,4529,0.991814
840,0,4529,0.991813
841,0,4529,0.991820
842,0,4529,0.991816
843,0,4529,0.991818
844,0,4529,0.991819
845,0,4529,0.991823
846,0,4529,0.991821
847,0,4529,0.991811
848,0,4529,0.991808
849,0,4529,0.991808
850,0,4529,0.991805
851,0,5021,0.992670
852,0,5021,0.992672
853,0,5021,0.992674
854,0,5021,0.992675
855,0,5021,0.992675
856,0,5021,0.992675
857,0,5021,0.992676
858,0,5021,0.992676
859,0,5021,0.992677
860,0,5021,0.992678
861,0,5021,0.992679
862,0,5021,0.992681
863,0,5021,0.992682
864,0,5021,0.992683
865,0,5021,0.992683
866,0,5021,0.992684
867,0,5021,0.992685
868,0,5021,0.992686
869,0,5021,0.992687
870,0,5021,0.992684
871,0,5021,0.992681
872,0,5021,0.992683
873,0,5021,0.992683
874,0,5021,0.992680
875,0,5021,0.992681
876,0,5021,0.992681
877,0,5021,0.992680
878,0,5021,0.992684
879,0,5021,0.992688
880,0,5021,0.992691
881,0,5021,0.992695
882,0,5021,0.992701
883,0,5021,0.992705
884,0,5021,0.992703
885,0,5021,0.992703
886,0,5021,0.992704
887,0,5021,0.992708
888,0,5021,0.992710
889,0,5021,0.992704
890,0,5021,0.992699
891,0,5021,0.992704
892,0,5021,0.992714
893,0,5021,0.992712
894,0,5021,0.992704
895,0,5021,0.992695
896,0,5021,0.992686
897,0,5021,0.992687
898,0,5021,0.992692
899,0,5021,0.992698
900,0,5021,0.992696
901,0,4991,0.991873
902,0,4991,0.991873
903,0,4991,0.991873
904,0,4991,0.991873
905,0,4991,0.991873
906,0,4991,0.991872
907,0,4991,0.991872
908,0,4991,0.991872
909,0,4991,0.991872
910,0,4991,0.991872
911,0,4991,0.991872
912,0,4991,0.991871
913,0,4991,0.991870
914,0,4991,0.991870
915,0,4991,0.991869
916,0,4991,0.991869
917,0,4991,0.991869
918,0,4991,0.991869
919,0,4991,0.991869
920,0,4991,0.991869
921,0,4991,0.991869
922,0,4991,0.991870
923,0,4991,0.991870
924,0,4991,0.991872
925,0,4991,0.991875
926,0,4991,0.991878
927,0,4991,0.991880
928,0,4991,0.991881
929,0,4991,0.991873
930,0,4991,0.991871
931,0,4991,0.991873
932,0,4991,0.991875
933,0,4991,0.991873
934,0,4991,0.991869
935,0,4991,0.991867
936,0,4991,0.991867
937,0,4991,0.991871
938,0,4991,0.991875
939,0,4991,0.991873
940,0,4991,0.991873
941,0,4991,0.991869
942,0,4991,0.991867
943,0,4991,0.991866
944,0,4991,0.991863
945,0,4991,0.991868
946,0,4991,0.991868
947,0,4991,0.991872
948,0,4991,0.991869
949,0,4991,0.991870
950,0,4991,0.991865
951,0,4389,0.992099
952,0,4389,0.992099
953,0,4389,0.992100
954,0,4389,0.992100
955,0,4389,0.992099
956,0,4389,0.992098
957,0,4389,0.992098
958,0,4389,0.992098
959,0,4389,0.992098
960,0,4389,0.992099
961,0,4389,0.992100
962,0,4389,0.992101
963,0,4389,0.992102
964,0,4389,0.992104
965,0,4389,0.992104
966,0,4389,0.992104
967,0,4389,0.992104
968,0,4389,0.992104
969,0,4389,0.992105
970,0,4389,0.992106
971,0,4389,0.992108
972,0,4389,0.992110
973,0,4389,0.992110
974,0,4389,0.992109
975,0,4389,0.992109
976,0,4389,0.992109
977,0,4389,0.992109
978,0,4389,0.992109
979,0,4389,0.992110
980,0,4389,0.992112
981,0,4389,0.992113
982,0,4389,0.992113
983,0,4389,0.992113
984,0,4389,0.992113
985,0,4389,0.992111
986,0,4389,0.992110
987,0,4389,0.992114
988,0,4389,0.992116
989,0,4389,0.992121
990,0,4389,0.992121
991,0,4389,0.992124
992,0,4389,0.992137
993,0,4389,0.992150
994,0,4389,0.992158
995,0,4389,0.992169
996,0,4389,0.992177
997,0,4389,0.992186
998,0,4389,0.992187
999,0,4389,0.992193
1000,0,4389,0.992194
1001,0,3560,0.993003
1002,0,3560,0.993002
1003,0,3560,0.993002
1004,0,3560,0.993001
1005,0,3560,0.993001
1006,0,3560,0.993001
1007,0,3560,0.993001
1008,0,3560,0.993001
1009,0,3560,0.993001
1010,0,3560,0.993000
1011,0,3560,0.993000
1012,0,3560,0.992999
1013,0,3560,0.992999
1014,0,3560,0.992998
1015,0,3560,0.992997
1016,0,3560,0.992997
1017,0,3560,0.992996
1018,0,3560,0.992996
1019,0,3560,0.992996
1020,0,3560,0.992996
1021,0,3560,0.992997
1022,0,3560,0.992997
1023,0,3560,0.992997
1024,0,3560,0.992999
1025,0,3560,0.993002
1026,0,3560,0.993002
1027,0,3560,0.993005
1028,0,3560,0.992999
1029,0,3560,0.992997
1030,0,3560,0.992999
1031,0,3560,0.992996
1032,0,3560,0.992997
1033,0,3560,0.992996
1034,0,3560,0.992994
1035,0,3560,0.992990
1036,0,3560,0.992985
1037,0,3560,0.992981
1038,0,3560,0.992980
1039,0,3560,0.992978
1040,0,3560,0.992982
1041,0,3560,0.992981
1042,0,3560,0.992979
1043,0,3560,0.992974
1044,0,3560,0.992971
1045,0,3560,0.992973
1046,0,3560,0.992972
1047,0,3560,0.992971
1048,0,3560,0.992975
1049,0,3560,0.992978
1050,0,3560,0.992981
1051,0,1706,0.989628
1052,0,1706,0.989637
1053,0,1706,0.989640
1054,0,1706,0.989651
1055,0,1706,0.989661
1056,0,1706,0.989651
1057,0,1706,0.989645
1058,0,1706,0.989648
1059,0,1706,0.989651
1060,0,1706,0.989652
1061,0,1706,0.989651
1062,0,1706,0.989650
1063,0,1706,0.989650
1064,0,1706,0.989654
1065,0,1706,0.989653
1066,0,1706,0.989650
1067,0,1706,0.989647
1068,0,1706,0.989643
1069,0,1706,0.989640
1070,0,1706,0.989642
1071,0,1706,0.989646
1072,0,1706,0.989651
1073,0,1706,0.989659
1074,0,1706,0.989664
1075,0,1706,0.989668
1076,0,1706,0.989673
1077,0,1706,0.989676
1078,0,1706,0.989676
1079,0,1706,0.989678
1080,0,1706,0.989677
1081,0,1706,0.989680
1082,0,1706,0.989686
1083,0,1706,0.989701
1084,0,1706,0.989712
1085,0,1706,0.989722
1086,0,1706,0.989721
1087,0,1706,0.989729
1088,0,1706,0.989728
1089,0,1706,0.989718
1090,0,1706,0.989750
1091,0,1706,0.989746
1092,0,1706,0.989751
1093,0,1706,0.989769
1094,0,1706,0.989785
1095,0,1706,0.989834
1096,0,1706,0.989835
1097,0,1706,0.989853
1098,0,1706,0.989879
1099,0,1706,0.989890
1100,0,1706,0.989905
1101,0,3296,0.992344
1102,0,3296,0.992344
1103,0,3296,0.992344
1104,0,3296,0.992345
1105,0,3296,0.992345
1106,0,3296,0.992345
1107,0,3296,0.992344
1108,0,3296,0.992344
1109,0,3296,0.992344
1110,0,3296,0.992344
1111,0,3296,0.992344
1112,0,3296,0.992344
1113,0,3296,0.992344
1114,0,3296,0.992344
1115,0,3296,0.992344
1116,0,3296,0.992345
1117,0,3296,0.992345
1118,0,3296,0.992345
1119,0,3296,0.992344
1120,0,3296,0.992345
1121,0,3296,0.992345
1122,0,3296,0.992346
1123,0,3296,0.992348
1124,0,3296,0.992348
1125,0,3296,0.992349
1126,0,3296,0.992349
1127,0,3296,0.992349
1128,0,3296,0.992349
1129,0,3296,0.992348
1130,0,3296,0.992346
1131,0,3296,0.992345
1132,0,3296,0.992347
1133,0,3296,0.992347
1134,0,3296,0.992349
1135,0,3296,0.992351
1136,0,3296,0.992354
1137,0,3296,0.992359
1138,0,3296,0.992365
1139,0,3296,0.992364
1140,0,3296,0.992364
1141,0,3296,0.992368
1142,0,3296,0.992376
1143,0,3296,0.992383
1144,0,3296,0.992397
1145,0,3296,0.992403
1146,0,3296,0.992407
1147,0,3296,0.992414
